method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
Tweedie,f1,vulnerable_activity,0.5893242788576871,0.0341936272789147,0.5850862857265644,0.4915590863952334,0.6388765046812305,100,0.5826223279110199,0.5960262298043544,1
AdaBoost,f1,vulnerable_activity,0.6044864225222771,0.0359405991158735,0.603543369863248,0.499267220322423,0.6699232379623168,100,0.597442065095566,0.6115307799489883,2
AdaBoost,f1,vulnerable_activity,0.6044864225222771,0.0359405991158735,0.603543369863248,0.499267220322423,0.6699232379623168,100,0.597442065095566,0.6115307799489883,3
BayesianRidge,f1,vulnerable_activity,0.6063260038721943,0.0340007868245898,0.6051581132969519,0.5009633911368016,0.6535975872468763,100,0.5996618496545747,0.6129901580898138,3
BayesianRidge,f1,vulnerable_activity,0.6063260038721943,0.0340007868245898,0.6051581132969519,0.5009633911368016,0.6535975872468763,100,0.5996618496545747,0.6129901580898138,4
Ridge,f1,vulnerable_activity,0.6063569491899089,0.0339816262626658,0.6054270229517653,0.5016851227732306,0.6543183286668103,100,0.5996965504424264,0.6130173479373914,4
Ridge,f1,vulnerable_activity,0.6063569491899089,0.0339816262626658,0.6054270229517653,0.5016851227732306,0.6543183286668103,100,0.5996965504424264,0.6130173479373914,5
Bagging,f1,vulnerable_activity,0.6069585811381555,0.0327427447361422,0.6021812044151037,0.5201465201465202,0.6769446391030133,100,0.6005410031698716,0.6133761591064394,5
Bagging,f1,vulnerable_activity,0.6069585811381555,0.0327427447361422,0.6021812044151037,0.5201465201465202,0.6769446391030133,100,0.6005410031698716,0.6133761591064394,6
GradientBoosting,f1,vulnerable_activity,0.6143059045058855,0.032547939906807,0.6111388573737291,0.5161904761904762,0.6666666666666666,100,0.6079265082841513,0.6206853007276197,6
GradientBoosting,f1,vulnerable_activity,0.6143059045058855,0.032547939906807,0.6111388573737291,0.5161904761904762,0.6666666666666666,100,0.6079265082841513,0.6206853007276197,7
RandomForest,f1,vulnerable_activity,0.6143122882745058,0.0336031304091366,0.6125316578998636,0.5052732502396932,0.6638714185883997,100,0.6077260747143151,0.6208985018346965,7
RandomForest,f1,vulnerable_activity,0.6143122882745058,0.0336031304091366,0.6125316578998636,0.5052732502396932,0.6638714185883997,100,0.6077260747143151,0.6208985018346965,8
LinearSVR,f1,vulnerable_activity,0.6215843898472693,0.033639621575765,0.621563654358142,0.525929325378614,0.6748299319727891,100,0.6149910240184193,0.6281777556761192,8
StochasticItemKNN,f1,vulnerable_activity,0.6824803767608444,0.0444820428591486,0.6903247549019608,0.5816894284269094,0.7495102155051777,100,0.6737618963604513,0.6911988571612375,9
StochasticItemKNN,f1,vulnerable_activity,0.6824803767608444,0.0444820428591486,0.6903247549019608,0.5816894284269094,0.7495102155051777,100,0.6737618963604513,0.6911988571612375,10
NMF,f1,vulnerable_activity,0.6842222331427383,0.0533508115017586,0.6957867933366211,0.5711111111111111,0.7658986175115208,100,0.6737654740883936,0.6946789921970831,10
BIASEDMF,f1,vulnerable_activity,0.7210515956608173,0.0405226592720154,0.7260389586617466,0.6473029045643154,0.7800330777326718,100,0.7131091544435023,0.7289940368781324,11
BIASEDMF,f1,vulnerable_activity,0.7210515956608173,0.0405226592720154,0.7260389586617466,0.6473029045643154,0.7800330777326718,100,0.7131091544435023,0.7289940368781324,12
SVD,f1,vulnerable_activity,0.7215924293218245,0.0354255986146119,0.7334593789389252,0.6509695290858726,0.7735392067817136,100,0.7146490119933606,0.7285358466502885,12
