method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
Bagging,ndcg,vulnerable_activity,0.8039139618612985,0.0162857813127424,0.8030157000528683,0.7672496908842078,0.8395646331742627,100,0.8007219487240009,0.807105974998596,1
Bagging,ndcg,vulnerable_activity,0.8039139618612985,0.0162857813127424,0.8030157000528683,0.7672496908842078,0.8395646331742627,100,0.8007219487240009,0.807105974998596,2
AdaBoost,ndcg,vulnerable_activity,0.8040668199294356,0.0167742839316561,0.8034376355663713,0.7684856192999915,0.8407384001317092,100,0.8007790602788311,0.8073545795800402,2
AdaBoost,ndcg,vulnerable_activity,0.8040668199294356,0.0167742839316561,0.8034376355663713,0.7684856192999915,0.8407384001317092,100,0.8007790602788311,0.8073545795800402,3
LinearSVR,ndcg,vulnerable_activity,0.8040918026213666,0.0163677242947209,0.8036677030283437,0.7647179298744919,0.8407070440795389,100,0.8008837286596013,0.8072998765831318,3
LinearSVR,ndcg,vulnerable_activity,0.8040918026213666,0.0163677242947209,0.8036677030283437,0.7647179298744919,0.8407070440795389,100,0.8008837286596013,0.8072998765831318,4
Ridge,ndcg,vulnerable_activity,0.8042203066543787,0.0163780428037037,0.8039461139513331,0.7664588947420866,0.8419117204938293,100,0.8010102102648528,0.8074304030439047,4
Ridge,ndcg,vulnerable_activity,0.8042203066543787,0.0163780428037037,0.8039461139513331,0.7664588947420866,0.8419117204938293,100,0.8010102102648528,0.8074304030439047,5
BayesianRidge,ndcg,vulnerable_activity,0.8043006468231656,0.01631922491771,0.8039671670986395,0.7665318297393053,0.8422735866239324,100,0.8011020787392944,0.8074992149070368,5
BayesianRidge,ndcg,vulnerable_activity,0.8043006468231656,0.01631922491771,0.8039671670986395,0.7665318297393053,0.8422735866239324,100,0.8011020787392944,0.8074992149070368,6
Tweedie,ndcg,vulnerable_activity,0.8043098504300888,0.0166931790228472,0.8042150984023211,0.7709877675259766,0.8466017461210216,100,0.8010379873416108,0.8075817135185669,6
Tweedie,ndcg,vulnerable_activity,0.8043098504300888,0.0166931790228472,0.8042150984023211,0.7709877675259766,0.8466017461210216,100,0.8010379873416108,0.8075817135185669,7
GradientBoosting,ndcg,vulnerable_activity,0.8043192723408978,0.0172812522071187,0.803028131688202,0.7660780991658572,0.8449375924135216,100,0.8009321469083026,0.8077063977734931,7
GradientBoosting,ndcg,vulnerable_activity,0.8043192723408978,0.0172812522071187,0.803028131688202,0.7660780991658572,0.8449375924135216,100,0.8009321469083026,0.8077063977734931,8
RandomForest,ndcg,vulnerable_activity,0.8046644753221672,0.0167543193259599,0.804602375603542,0.7697717349780662,0.8415910187628005,100,0.8013806287342791,0.8079483219100554,8
StochasticItemKNN,ndcg,vulnerable_activity,0.8378333312400044,0.010636095074295,0.8382721209978337,0.8151138284232463,0.8635265896376808,100,0.8357486566054425,0.8399180058745662,9
NMF,ndcg,vulnerable_activity,0.8747474552846622,0.0109719318992676,0.8758340860808382,0.8516913885583987,0.8955079663002876,100,0.8725969566324058,0.8768979539369187,10
BIASEDMF,ndcg,vulnerable_activity,0.8894650869102197,0.0112418316783941,0.8893289013701324,0.8669100250321518,0.9138829151445468,100,0.8872616879012545,0.891668485919185,11
BIASEDMF,ndcg,vulnerable_activity,0.8894650869102197,0.0112418316783941,0.8893289013701324,0.8669100250321518,0.9138829151445468,100,0.8872616879012545,0.891668485919185,12
SVD,ndcg,vulnerable_activity,0.8898411884543107,0.0090674975546219,0.8911002657149145,0.8725465698881645,0.909138823113728,100,0.8880639589336048,0.8916184179750166,12
