method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
SVD,rmse,vulnerable_activity,0.9425795578500288,0.0292230074427321,0.947665046279375,0.8882864677603245,0.9920762369815536,100,0.9368518483912532,0.9483072673088042,1
SVD,rmse,vulnerable_activity,0.9425795578500288,0.0292230074427321,0.947665046279375,0.8882864677603245,0.9920762369815536,100,0.9368518483912532,0.9483072673088042,2
BIASEDMF,rmse,vulnerable_activity,0.947688096247898,0.040202659993571,0.95682475137437,0.8690332977731144,1.0076390237795152,100,0.939808374889158,0.955567817606638,2
NMF,rmse,vulnerable_activity,1.0548955281277677,0.1719378173527605,1.0309502683529028,0.9070442927223706,1.5952465614802136,100,1.0211957159266265,1.0885953403289088,3
NMF,rmse,vulnerable_activity,1.0548955281277677,0.1719378173527605,1.0309502683529028,0.9070442927223706,1.5952465614802136,100,1.0211957159266265,1.0885953403289088,4
Tweedie,rmse,vulnerable_activity,1.08095882622856,0.0358319523121757,1.08678106785554,0.9826964946677316,1.1374429828390709,100,1.0739357635753737,1.0879818888817463,4
Tweedie,rmse,vulnerable_activity,1.08095882622856,0.0358319523121757,1.08678106785554,0.9826964946677316,1.1374429828390709,100,1.0739357635753737,1.0879818888817463,5
AdaBoost,rmse,vulnerable_activity,1.0828887503077678,0.0350868806371084,1.0907493360217622,0.9881127005534612,1.1400584935375568,100,1.0760117217028946,1.089765778912641,5
AdaBoost,rmse,vulnerable_activity,1.0828887503077678,0.0350868806371084,1.0907493360217622,0.9881127005534612,1.1400584935375568,100,1.0760117217028946,1.089765778912641,6
GradientBoosting,rmse,vulnerable_activity,1.0831164952275172,0.0358639901015697,1.0931437971267814,0.9889436494355188,1.1357319844149,100,1.0760871531676095,1.0901458372874249,6
GradientBoosting,rmse,vulnerable_activity,1.0831164952275172,0.0358639901015697,1.0931437971267814,0.9889436494355188,1.1357319844149,100,1.0760871531676095,1.0901458372874249,7
RandomForest,rmse,vulnerable_activity,1.083429604684259,0.0368952867939063,1.0886873694000898,0.9874999102134012,1.1409627383793108,100,1.0761981284726534,1.0906610808958648,7
RandomForest,rmse,vulnerable_activity,1.083429604684259,0.0368952867939063,1.0886873694000898,0.9874999102134012,1.1409627383793108,100,1.0761981284726534,1.0906610808958648,8
BayesianRidge,rmse,vulnerable_activity,1.0862373597029438,0.0372685928129549,1.0958973170542283,0.9844640120875312,1.1423651300021127,100,1.0789327155116046,1.093542003894283,8
BayesianRidge,rmse,vulnerable_activity,1.0862373597029438,0.0372685928129549,1.0958973170542283,0.9844640120875312,1.1423651300021127,100,1.0789327155116046,1.093542003894283,9
Ridge,rmse,vulnerable_activity,1.0865408015302271,0.0372051523630782,1.096521840096903,0.9848900010218378,1.1426602459413373,100,1.0792485916670638,1.0938330113933905,9
Ridge,rmse,vulnerable_activity,1.0865408015302271,0.0372051523630782,1.096521840096903,0.9848900010218378,1.1426602459413373,100,1.0792485916670638,1.0938330113933905,10
LinearSVR,rmse,vulnerable_activity,1.0959305519763651,0.0403169696154538,1.1038153328776636,0.9880187598716932,1.1653338260916404,100,1.088028425931736,1.1038326780209942,10
LinearSVR,rmse,vulnerable_activity,1.0959305519763651,0.0403169696154538,1.1038153328776636,0.9880187598716932,1.1653338260916404,100,1.088028425931736,1.1038326780209942,11
Bagging,rmse,vulnerable_activity,1.096161400110436,0.0371772172171087,1.106098372853984,0.9954406940544542,1.153648948388227,100,1.0888746655358827,1.1034481346849894,11
Bagging,rmse,vulnerable_activity,1.096161400110436,0.0371772172171087,1.106098372853984,0.9954406940544542,1.153648948388227,100,1.0888746655358827,1.1034481346849894,12
StochasticItemKNN,rmse,vulnerable_activity,1.1235903152204316,0.1435272950934851,1.0819058697727288,1.0188045021700691,1.5986654792278123,100,1.0954589653821083,1.1517216650587547,12
