method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
Tweedie,f1,vulnerable_gender,0.5460004321632992,0.0595739649685539,0.5387261049671266,0.4366576819407008,0.680628272251309,100,0.5343239350294626,0.5576769292971357,1
Tweedie,f1,vulnerable_gender,0.5460004321632992,0.0595739649685539,0.5387261049671266,0.4366576819407008,0.680628272251309,100,0.5343239350294626,0.5576769292971357,2
AdaBoost,f1,vulnerable_gender,0.5633060732940326,0.0610459913082663,0.5710274610651167,0.4441489361702128,0.680628272251309,100,0.5513410589976124,0.5752710875904528,2
AdaBoost,f1,vulnerable_gender,0.5633060732940326,0.0610459913082663,0.5710274610651167,0.4441489361702128,0.680628272251309,100,0.5513410589976124,0.5752710875904528,3
Ridge,f1,vulnerable_gender,0.5640750659252631,0.0585818180816501,0.5650747917569001,0.4415584415584415,0.673469387755102,100,0.5525930295812597,0.5755571022692666,3
Ridge,f1,vulnerable_gender,0.5640750659252631,0.0585818180816501,0.5650747917569001,0.4415584415584415,0.673469387755102,100,0.5525930295812597,0.5755571022692666,4
BayesianRidge,f1,vulnerable_gender,0.5642892546924305,0.0585202264493386,0.5667090508702582,0.4435797665369649,0.676923076923077,100,0.5528192903083602,0.5757592190765008,4
BayesianRidge,f1,vulnerable_gender,0.5642892546924305,0.0585202264493386,0.5667090508702582,0.4435797665369649,0.676923076923077,100,0.5528192903083602,0.5757592190765008,5
Bagging,f1,vulnerable_gender,0.567563080851185,0.0540016399485909,0.5738657647336933,0.4566929133858268,0.6770318021201414,100,0.5569787594212612,0.5781474022811088,5
Bagging,f1,vulnerable_gender,0.567563080851185,0.0540016399485909,0.5738657647336933,0.4566929133858268,0.6770318021201414,100,0.5569787594212612,0.5781474022811088,6
RandomForest,f1,vulnerable_gender,0.5727773078759131,0.0569550509326787,0.5796832057322341,0.4585492227979275,0.6903553299492385,100,0.561614117893108,0.5839404978587182,6
RandomForest,f1,vulnerable_gender,0.5727773078759131,0.0569550509326787,0.5796832057322341,0.4585492227979275,0.6903553299492385,100,0.561614117893108,0.5839404978587182,7
GradientBoosting,f1,vulnerable_gender,0.5733467405009127,0.0547759648621085,0.5801583348347235,0.4705882352941176,0.6965174129353234,100,0.5626106513879394,0.584082829613886,7
GradientBoosting,f1,vulnerable_gender,0.5733467405009127,0.0547759648621085,0.5801583348347235,0.4705882352941176,0.6965174129353234,100,0.5626106513879394,0.584082829613886,8
LinearSVR,f1,vulnerable_gender,0.5816396194227018,0.0552507639972591,0.589638612553006,0.4816625916870415,0.7024390243902439,100,0.570810469679239,0.5924687691661646,8
StochasticItemKNN,f1,vulnerable_gender,0.6633033004102684,0.0485421823471804,0.6749003434054082,0.5377358490566038,0.7258548290341932,100,0.653789032670221,0.6728175681503158,9
StochasticItemKNN,f1,vulnerable_gender,0.6633033004102684,0.0485421823471804,0.6749003434054082,0.5377358490566038,0.7258548290341932,100,0.653789032670221,0.6728175681503158,10
NMF,f1,vulnerable_gender,0.6801448737153788,0.0491904061392118,0.6841284717520366,0.5581395348837209,0.7633776678008042,100,0.6705035541120933,0.6897861933186643,10
BIASEDMF,f1,vulnerable_gender,0.705350095228776,0.0448546203145799,0.7122213341887451,0.5960698689956332,0.7760290556900726,100,0.6965585896471184,0.7141416008104337,11
BIASEDMF,f1,vulnerable_gender,0.705350095228776,0.0448546203145799,0.7122213341887451,0.5960698689956332,0.7760290556900726,100,0.6965585896471184,0.7141416008104337,12
SVD,f1,vulnerable_gender,0.7068661316165672,0.0440792169448103,0.7131575257768934,0.5914221218961625,0.7719830200121286,100,0.6982266050953844,0.71550565813775,12
