method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
SVD,mae,vulnerable_gender,0.7396769371654683,0.0583770635781062,0.7280303238103523,0.6664535644413597,0.8688720576062564,100,0.7282350327041595,0.7511188416267772,1
SVD,mae,vulnerable_gender,0.7396769371654683,0.0583770635781062,0.7280303238103523,0.6664535644413597,0.8688720576062564,100,0.7282350327041595,0.7511188416267772,2
BIASEDMF,mae,vulnerable_gender,0.742663869683625,0.0644659475080442,0.7361007219502216,0.6584590233715004,0.8739425598869516,100,0.7300285439720483,0.7552991953952016,2
NMF,mae,vulnerable_gender,0.7821721607015368,0.0771851646097865,0.7779168366295517,0.6827721660613859,0.9491459860974598,100,0.7670438684380186,0.797300452965055,3
StochasticItemKNN,mae,vulnerable_gender,0.8429996474231919,0.0592603463704817,0.8226764743362405,0.7740995852510839,1.0056547575817458,100,0.8313846195345774,0.8546146753118063,4
GradientBoosting,mae,vulnerable_gender,0.8767409746761031,0.0517621798953842,0.8632353337979544,0.7954350467763496,0.9977326410667056,100,0.8665955874166078,0.8868863619355984,5
GradientBoosting,mae,vulnerable_gender,0.8767409746761031,0.0517621798953842,0.8632353337979544,0.7954350467763496,0.9977326410667056,100,0.8665955874166078,0.8868863619355984,6
AdaBoost,mae,vulnerable_gender,0.8772447523171328,0.0519875750066999,0.8666378315845552,0.7935110451629979,0.9941856789806652,100,0.8670551876158197,0.887434317018446,6
AdaBoost,mae,vulnerable_gender,0.8772447523171328,0.0519875750066999,0.8666378315845552,0.7935110451629979,0.9941856789806652,100,0.8670551876158197,0.887434317018446,7
RandomForest,mae,vulnerable_gender,0.8773112513043779,0.052057812790298,0.8674702069114482,0.7927070940932712,0.9946120314475312,100,0.8671079199974795,0.8875145826112764,7
RandomForest,mae,vulnerable_gender,0.8773112513043779,0.052057812790298,0.8674702069114482,0.7927070940932712,0.9946120314475312,100,0.8671079199974795,0.8875145826112764,8
Tweedie,mae,vulnerable_gender,0.8776889664834948,0.0501119517501123,0.8714741748322666,0.7928168596063435,0.9974323622846444,100,0.8678670239404728,0.8875109090265169,8
Tweedie,mae,vulnerable_gender,0.8776889664834948,0.0501119517501123,0.8714741748322666,0.7928168596063435,0.9974323622846444,100,0.8678670239404728,0.8875109090265169,9
BayesianRidge,mae,vulnerable_gender,0.8778432921220136,0.0511119183948674,0.8691445946691938,0.7987189506313148,0.9981668386732144,100,0.8678253561166196,0.8878612281274076,9
BayesianRidge,mae,vulnerable_gender,0.8778432921220136,0.0511119183948674,0.8691445946691938,0.7987189506313148,0.9981668386732144,100,0.8678253561166196,0.8878612281274076,10
Ridge,mae,vulnerable_gender,0.8779708791830556,0.0511850387169037,0.8692375233261069,0.7988284964716408,0.9983983647842568,100,0.8679386115945424,0.8880031467715688,10
Ridge,mae,vulnerable_gender,0.8779708791830556,0.0511850387169037,0.8692375233261069,0.7988284964716408,0.9983983647842568,100,0.8679386115945424,0.8880031467715688,11
LinearSVR,mae,vulnerable_gender,0.8839680540781489,0.0525464608374467,0.871416394833469,0.8023229675022431,1.011809114568926,100,0.8736689477540094,0.8942671604022885,11
LinearSVR,mae,vulnerable_gender,0.8839680540781489,0.0525464608374467,0.871416394833469,0.8023229675022431,1.011809114568926,100,0.8736689477540094,0.8942671604022885,12
Bagging,mae,vulnerable_gender,0.8890561442271867,0.0526811346577112,0.8771561043815517,0.8027562969868842,1.0174725249220953,100,0.8787306418342753,0.8993816466200981,12
