method,metric,analysis_type,mean,std,median,min,max,n,ci_lower,ci_upper,group
RandomForest,ndcg,vulnerable_gender,0.7983179498596519,0.0281311978795548,0.793984736399364,0.7359426920835185,0.8772180627609044,100,0.7928042350752591,0.8038316646440447,1
RandomForest,ndcg,vulnerable_gender,0.7983179498596519,0.0281311978795548,0.793984736399364,0.7359426920835185,0.8772180627609044,100,0.7928042350752591,0.8038316646440447,2
AdaBoost,ndcg,vulnerable_gender,0.7983866917663883,0.0289041623824762,0.7960996483127584,0.7334196256278571,0.8781639010468605,100,0.792721475939423,0.8040519075933537,2
AdaBoost,ndcg,vulnerable_gender,0.7983866917663883,0.0289041623824762,0.7960996483127584,0.7334196256278571,0.8781639010468605,100,0.792721475939423,0.8040519075933537,3
GradientBoosting,ndcg,vulnerable_gender,0.7988321404137121,0.0277607245376035,0.7975917543507719,0.7355290040967446,0.8753693751699547,100,0.7933910384043418,0.8042732424230824,3
GradientBoosting,ndcg,vulnerable_gender,0.7988321404137121,0.0277607245376035,0.7975917543507719,0.7355290040967446,0.8753693751699547,100,0.7933910384043418,0.8042732424230824,4
Tweedie,ndcg,vulnerable_gender,0.798959728576094,0.0284062740471562,0.7964477279333988,0.7328606824183898,0.8759538705869162,100,0.7933920988628513,0.8045273582893366,4
Tweedie,ndcg,vulnerable_gender,0.798959728576094,0.0284062740471562,0.7964477279333988,0.7328606824183898,0.8759538705869162,100,0.7933920988628513,0.8045273582893366,5
LinearSVR,ndcg,vulnerable_gender,0.7990324407953134,0.027946464826808,0.7953889417249908,0.7403578369348179,0.8802138044280082,100,0.793554933689259,0.8045099479013679,5
LinearSVR,ndcg,vulnerable_gender,0.7990324407953134,0.027946464826808,0.7953889417249908,0.7403578369348179,0.8802138044280082,100,0.793554933689259,0.8045099479013679,6
BayesianRidge,ndcg,vulnerable_gender,0.7991899177618436,0.0280808524599193,0.7955259072043745,0.7391266324702469,0.8804173218974846,100,0.7936860706796993,0.8046937648439878,6
BayesianRidge,ndcg,vulnerable_gender,0.7991899177618436,0.0280808524599193,0.7955259072043745,0.7391266324702469,0.8804173218974846,100,0.7936860706796993,0.8046937648439878,7
Ridge,ndcg,vulnerable_gender,0.7992437607655657,0.0281617748160491,0.7958453746128682,0.7414506114014401,0.8796878187848208,100,0.7937240529016201,0.8047634686295113,7
Ridge,ndcg,vulnerable_gender,0.7992437607655657,0.0281617748160491,0.7958453746128682,0.7414506114014401,0.8796878187848208,100,0.7937240529016201,0.8047634686295113,8
Bagging,ndcg,vulnerable_gender,0.8001006936590067,0.02636463831661,0.7991597889047328,0.733381552560876,0.8774453629848907,100,0.7949332245489511,0.8052681627690623,8
StochasticItemKNN,ndcg,vulnerable_gender,0.8276330275307874,0.0152593951725176,0.8287584821929219,0.7850573550700745,0.8620299774917392,100,0.8246421860769739,0.8306238689846008,9
NMF,ndcg,vulnerable_gender,0.8618521343114857,0.018686220526223,0.8636475828616861,0.8084756050133876,0.8895911960285778,100,0.858189635088346,0.8655146335346253,10
BIASEDMF,ndcg,vulnerable_gender,0.8739845547004172,0.0151414322716871,0.8718588971376153,0.8395238770011673,0.8978779498948222,100,0.8710168339751666,0.8769522754256679,11
BIASEDMF,ndcg,vulnerable_gender,0.8739845547004172,0.0151414322716871,0.8718588971376153,0.8395238770011673,0.8978779498948222,100,0.8710168339751666,0.8769522754256679,12
SVD,ndcg,vulnerable_gender,0.8770368127108158,0.0147863154720421,0.876225068452273,0.8348855281678379,0.9035060821896168,100,0.8741386948782955,0.879934930543336,12
