window,rank1,rank2,rank3,rank4,rank5
1,Bagging,LinearSVR,Tweedie,GradientBoosting,RandomForest
2,Bagging,Tweedie,AdaBoost,GradientBoosting,RandomForest
3,SVD,itemKNN,BIAS,BIASEDMF,userKNN
4,BIASEDMF,SVD,userKNN,itemKNN,BIAS
5,SVD,AdaBoost,userKNN,BIASEDMF,itemKNN
6,BIASEDMF,SVD,BIAS,itemKNN,userKNN
7,Tweedie,BayesianRidge,Ridge,userKNN,RandomForest
8,itemKNN,BIASEDMF,BIAS,Ridge,BayesianRidge
9,Bagging,AdaBoost,Ridge,LinearSVR,GradientBoosting
10,userKNN,Bagging,SVD,BIAS,LinearSVR
11,itemKNN,BIASEDMF,SVD,BIAS,userKNN
12,RandomForest,AdaBoost,BIAS,SVD,LinearSVR
13,Bagging,userKNN,SVD,itemKNN,GradientBoosting
14,BIASEDMF,userKNN,SVD,LinearSVR,BIAS
15,AdaBoost,LinearSVR,RandomForest,GradientBoosting,Ridge
16,AdaBoost,Tweedie,LinearSVR,Ridge,BayesianRidge
17,userKNN,BIASEDMF,SVD,BIAS,itemKNN
18,userKNN,SVD,BIASEDMF,BIAS,itemKNN
19,userKNN,BIASEDMF,BIAS,SVD,itemKNN
20,BIAS,SVD,userKNN,BIASEDMF,itemKNN
