window,rank1,rank2,rank3,rank4,rank5
1,BIASEDMF,BIAS,userKNN,itemKNN,SVD
2,BIAS,BIASEDMF,SVD,itemKNN,userKNN
3,BIASEDMF,BIAS,itemKNN,SVD,userKNN
4,AdaBoost,GradientBoosting,RandomForest,Bagging,LinearSVR
5,AdaBoost,Tweedie,RandomForest,GradientBoosting,Bagging
6,BIAS,AdaBoost,SVD,BIASEDMF,RandomForest
7,BIAS,BIASEDMF,SVD,userKNN,itemKNN
8,Ridge,BayesianRidge,Tweedie,AdaBoost,SVD
9,SVD,BIASEDMF,BIAS,Bagging,userKNN
10,Bagging,AdaBoost,RandomForest,GradientBoosting,LinearSVR
11,userKNN,SVD,BIAS,BIASEDMF,itemKNN
12,SVD,BIAS,BIASEDMF,LinearSVR,Bagging
13,Bagging,GradientBoosting,RandomForest,AdaBoost,LinearSVR
14,BIASEDMF,BIAS,SVD,userKNN,itemKNN
15,SVD,BIASEDMF,BIAS,Bagging,RandomForest
16,Bagging,GradientBoosting,RandomForest,AdaBoost,Tweedie
17,SVD,BIAS,BIASEDMF,userKNN,itemKNN
18,SVD,BIAS,BIASEDMF,userKNN,itemKNN
19,userKNN,BIASEDMF,BIAS,SVD,itemKNN
20,SVD,BIASEDMF,BIAS,itemKNN,userKNN
