window,rank1,rank2,rank3,rank4,rank5
1,BIAS,userKNN,BIASEDMF,SVD,itemKNN
2,BIAS,SVD,BIASEDMF,itemKNN,userKNN
3,LinearSVR,RandomForest,GradientBoosting,AdaBoost,Bagging
4,AdaBoost,GradientBoosting,RandomForest,Bagging,LinearSVR
5,AdaBoost,GradientBoosting,Tweedie,RandomForest,Ridge
6,BIAS,AdaBoost,SVD,Tweedie,Bagging
7,BIAS,SVD,BIASEDMF,userKNN,itemKNN
8,Ridge,Tweedie,BayesianRidge,LinearSVR,AdaBoost
9,SVD,BIASEDMF,BIAS,itemKNN,userKNN
10,Bagging,AdaBoost,RandomForest,GradientBoosting,SVD
11,SVD,BIAS,BIASEDMF,userKNN,itemKNN
12,SVD,BIAS,Bagging,LinearSVR,RandomForest
13,Bagging,GradientBoosting,AdaBoost,RandomForest,Ridge
14,BIASEDMF,BIAS,SVD,userKNN,GradientBoosting
15,SVD,BIAS,BIASEDMF,Bagging,RandomForest
16,Bagging,GradientBoosting,RandomForest,AdaBoost,SVD
17,SVD,BIAS,BIASEDMF,userKNN,itemKNN
18,SVD,BIAS,BIASEDMF,userKNN,itemKNN
19,BIASEDMF,BIAS,SVD,userKNN,itemKNN
20,SVD,BIAS,BIASEDMF,userKNN,itemKNN
