window,rank1,rank2,rank3,rank4,rank5
1,Bagging,RandomForest,BayesianRidge,Ridge,AdaBoost
2,BIASEDMF,Bagging,itemKNN,userKNN,GradientBoosting
3,BIASEDMF,BIAS,userKNN,itemKNN,SVD
4,userKNN,BIASEDMF,SVD,BIAS,itemKNN
5,GradientBoosting,RandomForest,LinearSVR,Tweedie,Bagging
6,Tweedie,Ridge,BayesianRidge,RandomForest,GradientBoosting
7,itemKNN,AdaBoost,userKNN,LinearSVR,GradientBoosting
8,userKNN,SVD,BIAS,BIASEDMF,itemKNN
9,userKNN,SVD,itemKNN,BIAS,BIASEDMF
10,itemKNN,BIASEDMF,AdaBoost,SVD,BIAS
11,userKNN,itemKNN,BIAS,SVD,BIASEDMF
12,userKNN,SVD,BIAS,itemKNN,BIASEDMF
13,itemKNN,userKNN,BIASEDMF,AdaBoost,BIAS
14,userKNN,SVD,BIASEDMF,BIAS,itemKNN
15,SVD,userKNN,itemKNN,BIASEDMF,BIAS
16,Bagging,BayesianRidge,RandomForest,AdaBoost,GradientBoosting
17,userKNN,Bagging,BIASEDMF,itemKNN,GradientBoosting
18,itemKNN,userKNN,BIASEDMF,SVD,BIAS
19,BIASEDMF,userKNN,BIAS,itemKNN,SVD
20,Ridge,BayesianRidge,GradientBoosting,LinearSVR,itemKNN
