window,rank1,rank2,rank3,rank4,rank5
1,itemKNN,Bagging,GradientBoosting,AdaBoost,RandomForest
2,AdaBoost,Bagging,itemKNN,BIASEDMF,RandomForest
3,Bagging,GradientBoosting,AdaBoost,RandomForest,LinearSVR
4,LinearSVR,Ridge,BayesianRidge,GradientBoosting,RandomForest
5,Tweedie,LinearSVR,Ridge,BayesianRidge,RandomForest
6,BIASEDMF,SVD,BIAS,itemKNN,LinearSVR
7,userKNN,itemKNN,SVD,BIASEDMF,BIAS
8,itemKNN,userKNN,SVD,BIAS,BIASEDMF
9,BIASEDMF,userKNN,BIAS,SVD,Tweedie
10,BIASEDMF,SVD,BIAS,itemKNN,Bagging
11,SVD,BIAS,itemKNN,BIASEDMF,AdaBoost
12,userKNN,BIAS,SVD,BIASEDMF,itemKNN
13,Tweedie,BayesianRidge,Ridge,LinearSVR,RandomForest
14,BIASEDMF,userKNN,SVD,BIAS,itemKNN
15,BIASEDMF,userKNN,SVD,BIAS,AdaBoost
16,userKNN,Bagging,AdaBoost,BIASEDMF,RandomForest
17,userKNN,BIAS,SVD,BIASEDMF,itemKNN
18,userKNN,SVD,BIAS,itemKNN,BIASEDMF
19,itemKNN,BIASEDMF,SVD,userKNN,BIAS
20,LinearSVR,GradientBoosting,SVD,itemKNN,Tweedie
