window,rank1,rank2,rank3,rank4,rank5
1,userKNN,BIAS,SVD,GradientBoosting,Tweedie
2,AdaBoost,BIASEDMF,itemKNN,BayesianRidge,Ridge
3,SVD,GradientBoosting,BIASEDMF,BIAS,Bagging
4,itemKNN,Ridge,BayesianRidge,AdaBoost,BIAS
5,userKNN,BIAS,Bagging,itemKNN,SVD
6,Bagging,userKNN,RandomForest,LinearSVR,AdaBoost
7,SVD,BIAS,Bagging,BIASEDMF,userKNN
8,BIASEDMF,itemKNN,SVD,BIAS,userKNN
9,userKNN,BIAS,BIASEDMF,SVD,itemKNN
10,AdaBoost,SVD,Bagging,RandomForest,BIAS
11,itemKNN,userKNN,SVD,AdaBoost,BayesianRidge
12,BIAS,SVD,userKNN,BIASEDMF,itemKNN
13,BIASEDMF,BayesianRidge,Ridge,itemKNN,LinearSVR
14,userKNN,SVD,BIASEDMF,itemKNN,BIAS
15,LinearSVR,AdaBoost,Tweedie,Ridge,BayesianRidge
16,Bagging,Ridge,AdaBoost,Tweedie,GradientBoosting
17,BIAS,Bagging,SVD,userKNN,GradientBoosting
18,SVD,BIASEDMF,BIAS,Bagging,userKNN
19,BIAS,BIASEDMF,SVD,LinearSVR,Ridge
20,BIASEDMF,userKNN,BIAS,SVD,Bagging
