window,rank1,rank2,rank3,rank4,rank5
1,itemKNN,GradientBoosting,Tweedie,RandomForest,Bagging
2,AdaBoost,BIAS,itemKNN,SVD,RandomForest
3,Bagging,GradientBoosting,RandomForest,LinearSVR,AdaBoost
4,RandomForest,AdaBoost,Bagging,Tweedie,GradientBoosting
5,Bagging,AdaBoost,GradientBoosting,RandomForest,Tweedie
6,SVD,GradientBoosting,AdaBoost,Bagging,RandomForest
7,userKNN,itemKNN,BIASEDMF,SVD,BIAS
8,itemKNN,SVD,BIASEDMF,BIAS,userKNN
9,BIAS,SVD,BIASEDMF,userKNN,AdaBoost
10,BIAS,BIASEDMF,SVD,itemKNN,Bagging
11,BIASEDMF,itemKNN,AdaBoost,GradientBoosting,BayesianRidge
12,userKNN,BIAS,SVD,BIASEDMF,itemKNN
13,Tweedie,Bagging,BayesianRidge,Ridge,GradientBoosting
14,BIASEDMF,userKNN,SVD,BIAS,itemKNN
15,BIASEDMF,userKNN,itemKNN,SVD,BIAS
16,userKNN,Bagging,AdaBoost,BIASEDMF,RandomForest
17,userKNN,BIAS,SVD,BIASEDMF,itemKNN
18,userKNN,SVD,BIAS,BIASEDMF,itemKNN
19,userKNN,itemKNN,BIASEDMF,SVD,BIAS
20,LinearSVR,GradientBoosting,Tweedie,RandomForest,itemKNN
