window,rank1,rank2,rank3,rank4,rank5
1,userKNN,BIASEDMF,itemKNN,LinearSVR,SVD
2,itemKNN,userKNN,LinearSVR,BIASEDMF,Ridge
3,itemKNN,userKNN,BIASEDMF,LinearSVR,SVD
4,BIASEDMF,LinearSVR,userKNN,itemKNN,SVD
5,itemKNN,BIASEDMF,userKNN,SVD,BIAS
6,BIASEDMF,itemKNN,GradientBoosting,RandomForest,LinearSVR
7,BIASEDMF,itemKNN,SVD,LinearSVR,userKNN
8,itemKNN,BIASEDMF,LinearSVR,Bagging,GradientBoosting
9,AdaBoost,itemKNN,GradientBoosting,Bagging,BIASEDMF
10,GradientBoosting,LinearSVR,itemKNN,RandomForest,BIASEDMF
11,BIASEDMF,LinearSVR,userKNN,itemKNN,GradientBoosting
12,itemKNN,BIASEDMF,LinearSVR,BIAS,SVD
13,itemKNN,BIASEDMF,AdaBoost,GradientBoosting,RandomForest
14,LinearSVR,itemKNN,GradientBoosting,SVD,BIAS
15,AdaBoost,RandomForest,itemKNN,GradientBoosting,LinearSVR
16,itemKNN,LinearSVR,BIASEDMF,Ridge,Bagging
17,itemKNN,GradientBoosting,userKNN,BIASEDMF,LinearSVR
18,itemKNN,AdaBoost,RandomForest,GradientBoosting,LinearSVR
19,LinearSVR,AdaBoost,RandomForest,Ridge,BayesianRidge
20,AdaBoost,RandomForest,GradientBoosting,LinearSVR,BIASEDMF
