window,rank1,rank2,rank3,rank4,rank5
1,userKNN,BIAS,SVD,AdaBoost,Tweedie
2,userKNN,BIAS,SVD,Bagging,Tweedie
3,userKNN,BIAS,AdaBoost,SVD,Bagging
4,userKNN,BIAS,SVD,AdaBoost,Tweedie
5,userKNN,BIAS,AdaBoost,Bagging,SVD
6,userKNN,BIAS,Bagging,AdaBoost,SVD
7,userKNN,Bagging,BIAS,AdaBoost,Tweedie
8,userKNN,Bagging,AdaBoost,BIAS,SVD
9,userKNN,Bagging,itemKNN,AdaBoost,GradientBoosting
10,userKNN,Bagging,itemKNN,AdaBoost,BIAS
11,userKNN,Bagging,AdaBoost,BIASEDMF,BIAS
12,userKNN,Bagging,AdaBoost,BIASEDMF,Tweedie
13,userKNN,itemKNN,BIASEDMF,Tweedie,Bagging
14,userKNN,itemKNN,Bagging,AdaBoost,GradientBoosting
15,userKNN,itemKNN,Bagging,BIASEDMF,AdaBoost
16,userKNN,Bagging,itemKNN,BIASEDMF,Tweedie
17,userKNN,Bagging,itemKNN,AdaBoost,GradientBoosting
18,userKNN,BIASEDMF,itemKNN,AdaBoost,Bagging
19,userKNN,Bagging,GradientBoosting,AdaBoost,itemKNN
20,userKNN,itemKNN,AdaBoost,Bagging,GradientBoosting
