window,rank1,rank2,rank3,rank4,rank5
1,RandomForest,BayesianRidge,Ridge,GradientBoosting,LinearSVR
2,LinearSVR,BayesianRidge,Ridge,Tweedie,GradientBoosting
3,LinearSVR,BayesianRidge,Ridge,Tweedie,itemKNN
4,Ridge,BayesianRidge,LinearSVR,Tweedie,RandomForest
5,itemKNN,LinearSVR,Tweedie,BIASEDMF,BayesianRidge
6,AdaBoost,RandomForest,itemKNN,GradientBoosting,Tweedie
7,LinearSVR,Ridge,RandomForest,BayesianRidge,Tweedie
8,BayesianRidge,LinearSVR,BIASEDMF,AdaBoost,Tweedie
9,Tweedie,Ridge,BayesianRidge,GradientBoosting,LinearSVR
10,AdaBoost,GradientBoosting,itemKNN,LinearSVR,RandomForest
11,RandomForest,BIAS,GradientBoosting,AdaBoost,BIASEDMF
12,BIAS,RandomForest,GradientBoosting,BayesianRidge,Ridge
13,SVD,BIAS,Ridge,BayesianRidge,LinearSVR
14,RandomForest,Tweedie,BayesianRidge,AdaBoost,Ridge
15,BIAS,SVD,Tweedie,Ridge,LinearSVR
16,Ridge,GradientBoosting,BayesianRidge,RandomForest,BIAS
17,Tweedie,BIAS,SVD,LinearSVR,RandomForest
18,Tweedie,AdaBoost,SVD,RandomForest,BIAS
19,Tweedie,LinearSVR,Ridge,BayesianRidge,BIAS
20,BayesianRidge,Ridge,Tweedie,RandomForest,userKNN
