window,rank1,rank2,rank3,rank4,rank5
1,userKNN,BIAS,SVD,Bagging,itemKNN
2,userKNN,BIAS,SVD,Bagging,itemKNN
3,userKNN,BIAS,SVD,itemKNN,Bagging
4,userKNN,BIAS,SVD,itemKNN,Bagging
5,userKNN,BIAS,SVD,Bagging,BIASEDMF
6,userKNN,BIAS,Bagging,AdaBoost,SVD
7,userKNN,BIAS,Bagging,SVD,itemKNN
8,userKNN,Bagging,itemKNN,BIAS,SVD
9,userKNN,Bagging,itemKNN,GradientBoosting,AdaBoost
10,userKNN,itemKNN,Bagging,BIASEDMF,BIAS
11,userKNN,itemKNN,Bagging,BIASEDMF,SVD
12,userKNN,itemKNN,Bagging,BIASEDMF,Tweedie
13,userKNN,itemKNN,BIASEDMF,Bagging,Tweedie
14,userKNN,itemKNN,Bagging,GradientBoosting,LinearSVR
15,userKNN,itemKNN,Bagging,BIASEDMF,GradientBoosting
16,userKNN,Bagging,BIASEDMF,itemKNN,Ridge
17,userKNN,Bagging,AdaBoost,itemKNN,GradientBoosting
18,userKNN,itemKNN,BIASEDMF,GradientBoosting,Bagging
19,userKNN,Bagging,GradientBoosting,itemKNN,AdaBoost
20,userKNN,itemKNN,Bagging,GradientBoosting,BIASEDMF
